id	name	host_id	host_name	neighbourhood_group	neighbourhood	latitude	longitude	room_type	price	minimum_nights	number_of_reviews	last_review	reviews_per_month	calculated_host_listings_count	availability_365
16050862	Private Bedroom & bath - Huge Apt in Williamsburg	17995733	Idit	Brooklyn	Williamsburg	40.71683	-73.94448	Private room	75	10	0			1	0
25112819	Sugar Hill Duplex Apartment	12104046	Paula	Manhattan	Harlem	40.82927	-73.94272	Entire home/apt	150	2	50	43633	3.69	2	298
35368609	Dazzling Large 3 Bedroom Just Minutes To Manhattan	266261548	Theo	Queens	Astoria	40.75875	-73.92048	Entire home/apt	275	2	2	43647	2	1	279
8126777	Sunlit Oasis in WILLIAMSBURG BK (2 Bedrooms)	41059169	Alex	Brooklyn	Williamsburg	40.7124	-73.96314	Entire home/apt	90	3	17	43647	0.36	3	77
8130534	Lovely BR w/Access to Everything!	3692257	Tasia	Brooklyn	Kensington	40.64423	-73.98019	Private room	49	1	1	42313	0.02	2	0
281851	Beautiful Private Bedroom - Downstairs	1469036	Tw	Manhattan	Harlem	40.80671	-73.95082	Private room	130	1	107	43641	2.38	1	304
36199092	Green flat with patio in New York artistic best	167024334	Mani	Brooklyn	Bushwick	40.701	-73.9243	Entire home/apt	150	2	0			2	331
33214803	Spacious/Comfortable Close to Yankee Stadium/City	11379822	Danny	Bronx	Mount Hope	40.84672	-73.90411	Private room	63	1	3	43592	0.94	1	167
21264903	Harlem Hideaway Studio Apartment	145825873	Dennis	Manhattan	Harlem	40.80604	-73.94971	Entire home/apt	83	30	6	43555	0.46	4	86
9747647	Big and sunny room in Greenpoint	8768792	Fernando	Brooklyn	Greenpoint	40.72449	-73.95149	Private room	70	5	1	42353	0.02	1	0
20812587	"Brooklyn At Its Best, Too!"	25718914	Ainslie And John	Brooklyn	Prospect-Lefferts Gardens	40.66174	-73.95496	Private room	110	2	43	43598	1.94	2	182
8589668	"Gorgeous, sun-filled LES 1 bedoom"	32228	Brooke	Manhattan	Chinatown	40.7148	-73.99248	Entire home/apt	175	5	16	43588	0.35	1	0
11602574	Elegant 2 Bedroom with light & amenities!	16899697	Martín	Manhattan	Lower East Side	40.71854	-73.98362	Private room	250	2	2	42737	0.07	1	0
26741642	Luxury Historic Brooklyn Apt in Bed Stuy - Legal	3073952	Christof	Brooklyn	Bedford-Stuyvesant	40.68069	-73.91045	Entire home/apt	97	1	27	43646	5.66	2	62
30387305	"Bright, Open 1BR in lovely West Village w/ Doorman by Blueground"	107434423	Blueground	Manhattan	West Village	40.7287	-74.00327	Entire home/apt	397	30	0			232	53
27851725	luz lunar bibis	207381757	Gabriel	Bronx	Norwood	40.87633	-73.88328	Private room	45	1	18	43647	1.93	1	153
21981845	A happy home	158178970	Raquel	Staten Island	Randall Manor	40.63108	-74.12512	Private room	27	1	21	43635	1.14	3	287
34971337	Spacious 2 Bed on Park with Washer/Dryer #6113	113723310	Joe	Manhattan	Murray Hill	40.74751	-73.98051	Entire home/apt	300	30	0			8	355
9486961	Large Bright Bushwick Private Room!	49170998	Nina	Brooklyn	Bushwick	40.70138	-73.92168	Private room	60	7	3	43101	0.07	1	0
36002325	Modern and Charming Greenpoint by the Park	185352365	Megan	Brooklyn	Greenpoint	40.72214	-73.94566	Entire home/apt	220	2	0			1	12
34538751	Contemporary Designer 2BD/2Bath Duplex by Cen Park	112338663	James & Shannon	Manhattan	Upper West Side	40.80058	-73.96287	Entire home/apt	400	5	11	43647	6.23	1	125
9415026	Murray Hill NYC Apartment	14995329	Sierra	Manhattan	Kips Bay	40.7435	-73.97907	Private room	95	1	1	42352	0.02	1	0
7338771	Design Forward East Village 1Br Apt	9892766	Ariel	Manhattan	East Village	40.72261	-73.98196	Entire home/apt	280	30	1	43063	0.05	1	116
31292757	NY BROADWAY DOUBLE DOUBLE ROOM	224815152	Hudson River Hotel	Manhattan	Hell's Kitchen	40.75634	-73.99641	Private room	249	1	6	43632	1.06	8	89
20758861	Duplex w private garden - up to 6 guests	148689791	Katherine	Manhattan	East Village	40.72475	-73.97788	Entire home/apt	260	30	0			1	330
26131794	Super Luxurious 2 Bedroom Grand Central	61391963	Corporate Housing	Manhattan	Murray Hill	40.7512	-73.97738	Entire home/apt	175	30	2	43585	0.38	91	241
6574537	Bright & Spacious	34387513	Michael	Queens	Long Island City	40.7583	-73.9315	Private room	225	1	0			1	365
23319467	Modern clean Apt-close to LGA & Manhattan	172506421	Santosh	Queens	Jackson Heights	40.75363	-73.88151	Entire home/apt	93	2	70	43642	4.24	1	89
35232958	Coziest & magical beds behind living room curtains	265273671	Henri	Bronx	Parkchester	40.83898	-73.86492	Shared room	55	1	0			1	364
6167683	Charming one bedroom Central Park	25228783	Laurence	Manhattan	Upper West Side	40.77804	-73.97611	Entire home/apt	210	6	7	42973	0.14	1	0
28660068	Gorgeous Bedroom in the heart of Bushwick Him-2R-3	216235179	Nina	Brooklyn	Bushwick	40.70011	-73.92043	Private room	55	30	0			17	336
7347350	Room in East Williamsburg 1 Block from L Train	6284410	Fiona	Brooklyn	Williamsburg	40.70794	-73.93976	Private room	35	5	1	42572	0.03	1	0
8525172	Shared Studio (NO PRIVACY) On The Upper East Side	44887928	Brianna	Manhattan	Upper East Side	40.7851	-73.95254	Shared room	62	1	104	43639	2.26	1	333
16439426	Spacious Room in Large 2 Bedroom Prewar Apartment	21136805	Kalim	Brooklyn	Crown Heights	40.66973	-73.95634	Private room	41	1	7	43511	0.23	1	45
7133306	"Bright Room in Creative Brooklyn Neighborhood, JMZ"	37362312	Francesco	Brooklyn	Bedford-Stuyvesant	40.69464	-73.93369	Private room	65	2	0			2	19
12900284	Elmhurst单房短租5/23-8/10交通便利	27885164	Yiping	Queens	Elmhurst	40.74182	-73.88875	Private room	50	1	0			1	0
27492139	Sun drenched Artsy One Bedroom	206949054	Sandy	Brooklyn	East Flatbush	40.6648	-73.92672	Entire home/apt	115	1	15	43645	1.42	1	48
12888849	"Bright Luxury Studio, Central Loc."	16476167	Sarah	Manhattan	Midtown	40.74513	-73.98475	Entire home/apt	250	366	0			1	365
21520497	Peace of mind	156396144	Vic	Bronx	Morrisania	40.82995	-73.90342	Entire home/apt	50	1	0			1	0
6784378	Large Room & Own Bath by train	7788268	Marites	Brooklyn	Prospect-Lefferts Gardens	40.65894	-73.95947	Private room	75	2	10	43227	0.22	1	52
27656004	Cozy Brooklyn Apartment	45675260	Victoria	Brooklyn	Bushwick	40.69632	-73.9193	Private room	65	3	5	43364	0.46	2	0
29078251	"Park Avenue midtown apartment, walk to everything"	1163709	Dc	Manhattan	Murray Hill	40.74836	-73.9807	Shared room	800	2	12	43643	1.4	1	220
13122932	"East Village duplex: peaceful, bright & cheerful"	73029190	Dina	Manhattan	East Village	40.72554	-73.98245	Entire home/apt	250	14	0			1	174
4621713	Prime Union Square! Large 1BR~Great value	2119276	Host	Manhattan	Gramercy	40.7339	-73.98548	Entire home/apt	185	30	5	43489	0.1	39	1
3914400	"Big Private Room, Prospect Heights"	960861	Schuyler	Brooklyn	Prospect Heights	40.67652	-73.96442	Private room	50	30	12	42864	0.2	1	0
6311716	1 Bedroom Greenpoint Close To All	32826638	Nadia	Brooklyn	Greenpoint	40.73284	-73.95822	Entire home/apt	135	3	2	42230	0.04	1	0
19892549	Central Harlem- 15 Min to Times Square	26645843	Camaron	Manhattan	Harlem	40.80781	-73.95134	Entire home/apt	250	5	2	43641	0.11	1	6
8558627	Tulsi's Private Cozy Studio	45045974	Shivaul	Brooklyn	Cypress Hills	40.68173	-73.87314	Private room	48	2	58	43570	1.34	1	248
235552	HUGE Sunny Duplex Loft with Garden	1234405	Bertie	Brooklyn	South Slope	40.66414	-73.98574	Entire home/apt	300	1	40	43632	0.44	1	0
8806104	"1 Bedroom Garden Apartment, Harlem"	7650414	Keith	Manhattan	Harlem	40.80281	-73.94644	Entire home/apt	150	6	51	43585	1.13	2	66
2189129	10-Room Apt w/ 3BR & Park Views	11163727	Marcus	Brooklyn	Park Slope	40.66587	-73.97737	Entire home/apt	250	1	0			1	0
30770478	Big private room in Brooklyn penthouse	9288052	Lauren	Brooklyn	Clinton Hill	40.68527	-73.9657	Private room	60	7	2	43587	0.34	2	0
8736934	Great sun drenched room near park!	12639098	Imrul	Brooklyn	Flatbush	40.65315	-73.95538	Private room	60	1	0			1	0
34126627	Woodside condo room close to Midtown / LGA.	137358866	Kazuya	Queens	Woodside	40.74165	-73.90155	Private room	59	30	1	43631	1	103	260
17778781	Room in cute apartment in South Williamsburg	120567010	Molly	Brooklyn	Williamsburg	40.71168	-73.9657	Private room	100	5	2	42880	0.07	1	0
34151410	Cozy apartment in a safe neighborhood	257842396	Jalal	Brooklyn	Greenpoint	40.72468	-73.94042	Entire home/apt	200	2	1	43626	1	1	0
12674423	Summer in Brooklyn!	37234211	Chloe	Brooklyn	Prospect-Lefferts Gardens	40.65701	-73.95887	Private room	50	1	0			1	0
18190480	Park Slope Gem full of natural light	28929752	Sarah	Brooklyn	Park Slope	40.67632	-73.97328	Entire home/apt	115	3	4	43240	0.23	1	0
30091592	Best view near Times Square	16768238	Julio Adrian	Manhattan	Hell's Kitchen	40.75975	-73.9944	Private room	215	2	0			1	0
29158470	South Slope Townhome	219725282	Jacqueline	Brooklyn	Sunset Park	40.66051	-73.99081	Entire home/apt	400	2	3	43582	0.4	1	0
855919	Lovely Apt. in the heart of Harlem	4473860	Marina	Manhattan	Harlem	40.80845	-73.94435	Entire home/apt	125	1	64	43647	1.37	1	135
22343079	Sunny and Private Room close to Manhattan!!!	107953084	Ervita	Brooklyn	Prospect-Lefferts Gardens	40.66316	-73.95326	Private room	75	2	61	43648	3.26	3	265
35481807	Male Shared room 1 bed in the bedroom long term	179478172	Elizabeth	Brooklyn	Flatbush	40.65022	-73.96281	Shared room	25	4	1	43642	1	3	334
29517676	Spacious & Comfortable Suite w/ Private Entry/Bath	72001588	Dave	Staten Island	West Brighton	40.62625	-74.11109	Private room	80	1	29	43647	3.49	1	80
14655908	"Historic Brownstone (3Flrs). Pvt Deck, Garden,Park"	89724008	Richard	Manhattan	Harlem	40.81919	-73.9443	Entire home/apt	750	3	0			1	87
30933535	Chic 2 bedroom just a train ride away from NYC	230517521	Vincent	Queens	Ridgewood	40.69913	-73.90831	Entire home/apt	200	2	1	43646	1	1	0
6757821	Riverside Dr Apartment	28813132	Junyuan	Manhattan	Morningside Heights	40.81656	-73.96122	Private room	70	1	0			1	0
17141577	Cosy and Spacious Master Bedroom in Williamsburgh	26870769	Emilia	Brooklyn	Williamsburg	40.71648	-73.94066	Private room	60	87	4	42997	0.14	1	173
21045451	Sunny and cozy spacious bedroom w/ queen sized bed	1892493	Whitney	Brooklyn	Brownsville	40.66819	-73.92394	Private room	70	2	5	43590	0.25	2	46
13842069	LEGO Garden 1BR Apt +Patio near JFK & LGA Airports	87601	Kazumi	Queens	Briarwood	40.71409	-73.82382	Private room	73	4	72	43646	2.11	1	282
1147524	3br family-friendly Astoria house	244071	Litza	Queens	Ditmars Steinway	40.77755	-73.90599	Entire home/apt	175	7	2	41832	0.03	1	8
33971836	Cozy apartment In Manhattan	253906467	Erik	Manhattan	Hell's Kitchen	40.76447	-73.99103	Shared room	69	1	4	43639	1.48	9	364
20652600	"Sun Drenched, Extra Large 1 Bdrm Clinton Hill Apt"	147688555	Kenya & Paul	Brooklyn	Bedford-Stuyvesant	40.68459	-73.95732	Entire home/apt	179	3	52	43642	2.39	1	185
30425766	Bed in a shared male room	224074972	Askhat	Brooklyn	Bedford-Stuyvesant	40.69218	-73.9439	Shared room	30	2	14	43605	1.92	4	224
21649523	Crown Heights Apartment	138546022	Nicholas	Brooklyn	Crown Heights	40.67354	-73.95149	Private room	41	1	1	43045	0.05	2	0
