Year	State	Electoral	DEMOCRAT	LIBERTARIAN	OTHER	REPUBLICAN	Winer	Electoral Democrat	Electoral Republican
1976	AK	3	44058.0	6785.0	1176.0	71555.0	REPUBLICAN	0	3
1976	AL	9	659170.0	1481.0	18129.0	504070.0	DEMOCRAT	9	0
1976	AR	6	498604.0	0.0	1028.0	267903.0	DEMOCRAT	6	0
1976	AZ	11	295602.0	7647.0	20828.0	418642.0	REPUBLICAN	0	11
1976	CA	55	3742284.0	0.0	179242.0	3882244.0	REPUBLICAN	0	55
1976	CO	9	460801.0	5338.0	31023.0	584278.0	REPUBLICAN	0	9
1976	CT	7	647895.0	0.0	19199.0	719261.0	REPUBLICAN	0	7
1976	DC	3	137818.0	0.0	3139.0	27873.0	DEMOCRAT	3	0
1976	DE	3	122461.0	0.0	3401.0	109780.0	DEMOCRAT	3	0
1976	FL	29	1636000.0	0.0	45100.0	1469531.0	DEMOCRAT	29	0
1976	GA	16	979409.0	0.0	0.0	483743.0	DEMOCRAT	16	0
1976	HI	4	147375.0	3923.0	0.0	140003.0	DEMOCRAT	4	0
1976	IA	6	619931.0	1454.0	25054.0	632864.0	REPUBLICAN	0	6
1976	ID	4	126549.0	3558.0	6674.0	204151.0	REPUBLICAN	0	4
1976	IL	20	2271295.0	8057.0	77661.0	2364269.0	REPUBLICAN	0	20
1976	IN	11	1014714.0	0.0	21690.0	1183958.0	REPUBLICAN	0	11
1976	KS	6	430421.0	0.0	24672.0	502752.0	REPUBLICAN	0	6
1976	KY	8	615717.0	814.0	18759.0	531852.0	DEMOCRAT	8	0
1976	LA	8	661365.0	3134.0	25438.0	587446.0	DEMOCRAT	8	0
1976	MA	11	1429475.0	135.0	87672.0	1030276.0	DEMOCRAT	11	0
1976	MD	10	759612.0	0.0	0.0	672661.0	DEMOCRAT	10	0
1976	ME	4	232279.0	0.0	14369.0	236320.0	REPUBLICAN	0	4
1976	MI	16	1696714.0	5407.0	55727.0	1893742.0	REPUBLICAN	0	16
1976	MN	10	1070440.0	3529.0	56567.0	819395.0	DEMOCRAT	10	0
1976	MO	10	998387.0	0.0	27770.0	927443.0	DEMOCRAT	10	0
1976	MS	6	381329.0	2609.0	17606.0	366846.0	DEMOCRAT	6	0
1976	MT	3	149259.0	0.0	5772.0	173703.0	REPUBLICAN	0	3
1976	NC	15	927365.0	2219.0	6362.0	741960.0	DEMOCRAT	15	0
1976	ND	3	136078.0	256.0	7290.0	153684.0	REPUBLICAN	0	3
1976	NE	5	233293.0	1476.0	12761.0	359219.0	REPUBLICAN	0	5
1976	NH	4	147645.0	936.0	5111.0	185935.0	REPUBLICAN	0	4
1976	NJ	14	1444653.0	9449.0	50682.0	1509688.0	REPUBLICAN	0	14
1976	NM	5	201148.0	1110.0	2913.0	211419.0	REPUBLICAN	0	5
1976	NV	6	92479.0	1519.0	6605.0	101273.0	REPUBLICAN	0	6
1976	NY	29	3244165.0	0.0	598184.0	2825913.0	DEMOCRAT	29	0
1976	OH	18	2009959.0	8952.0	90919.0	2000626.0	DEMOCRAT	18	0
1976	OK	7	532442.0	0.0	14101.0	545708.0	REPUBLICAN	0	7
1976	OR	7	490407.0	0.0	47349.0	492120.0	REPUBLICAN	0	7
1976	PA	20	2328677.0	0.0	86506.0	2205604.0	DEMOCRAT	20	0
1976	RI	4	227636.0	715.0	984.0	181249.0	DEMOCRAT	4	0
1976	SC	9	450807.0	0.0	5627.0	346149.0	DEMOCRAT	9	0
1976	SD	3	147068.0	1619.0	486.0	151505.0	REPUBLICAN	0	3
1976	TN	11	825879.0	0.0	16498.0	633969.0	DEMOCRAT	11	0
1976	TX	38	2082319.0	0.0	36265.0	1953300.0	DEMOCRAT	38	0
1976	UT	6	182110.0	0.0	21200.0	337908.0	REPUBLICAN	0	6
1976	VA	13	813896.0	4648.0	41996.0	836554.0	REPUBLICAN	0	13
1976	VT	3	77798.0	0.0	5717.0	100387.0	REPUBLICAN	0	3
1976	WA	12	717323.0	5042.0	55437.0	777732.0	REPUBLICAN	0	12
1976	WI	10	1040232.0	3814.0	52303.0	1004987.0	DEMOCRAT	10	0
1976	WV	5	435864.0	0.0	0.0	314726.0	DEMOCRAT	5	0
1976	WY	3	62239.0	0.0	1387.0	92717.0	REPUBLICAN	0	3
1980	AK	3	41842.0	18479.0	12012.0	86112.0	REPUBLICAN	0	3
1980	AL	9	636730.0	13318.0	37689.0	654192.0	REPUBLICAN	0	9
1980	AR	6	398041.0	8970.0	27407.0	403164.0	REPUBLICAN	0	6
1980	AZ	11	246843.0	18784.0	78630.0	529688.0	REPUBLICAN	0	11
1980	CA	55	3082943.0	148390.0	828611.0	4522994.0	REPUBLICAN	0	55
1980	CO	9	368009.0	25744.0	138433.0	652264.0	REPUBLICAN	0	9
1980	CT	7	541732.0	8570.0	178773.0	677210.0	REPUBLICAN	0	7
1980	DC	3	130231.0	1104.0	19241.0	23313.0	DEMOCRAT	3	0
1980	DE	3	105754.0	1974.0	16688.0	111252.0	REPUBLICAN	0	3
1980	FL	29	1419475.0	30524.0	189977.0	2046951.0	REPUBLICAN	0	29
1980	GA	16	890955.0	15627.0	36055.0	654168.0	DEMOCRAT	16	0
1980	HI	4	135879.0	3269.0	34027.0	130112.0	DEMOCRAT	4	0
1980	IA	6	508672.0	13123.0	119840.0	676026.0	REPUBLICAN	0	6
1980	ID	4	110192.0	8425.0	28115.0	290699.0	REPUBLICAN	0	4
1980	IL	20	1981413.0	38939.0	371320.0	2358049.0	REPUBLICAN	0	20
1980	IN	11	844197.0	19627.0	122553.0	1255656.0	REPUBLICAN	0	11
1980	KS	6	326150.0	14470.0	72363.0	566812.0	REPUBLICAN	0	6
1980	KY	8	617417.0	5531.0	37405.0	635274.0	REPUBLICAN	0	8
1980	LA	8	708453.0	8240.0	39045.0	792853.0	REPUBLICAN	0	8
1980	MA	11	1053802.0	22038.0	390619.0	1057631.0	REPUBLICAN	0	11
1980	MD	10	726161.0	14192.0	119537.0	680606.0	DEMOCRAT	10	0
1980	ME	4	220974.0	5119.0	58396.0	238522.0	REPUBLICAN	0	4
1980	MI	16	1661532.0	41597.0	291371.0	1915225.0	REPUBLICAN	0	16
1980	MN	10	954173.0	31593.0	192882.0	873268.0	DEMOCRAT	10	0
1980	MO	10	931182.0	14422.0	80039.0	1074181.0	REPUBLICAN	0	10
1980	MS	6	429281.0	4702.0	16678.0	441089.0	REPUBLICAN	0	6
1980	MT	3	118032.0	9825.0	29281.0	206814.0	REPUBLICAN	0	3
1980	NC	15	875635.0	9677.0	55503.0	915018.0	REPUBLICAN	0	15
1980	ND	3	79189.0	3743.0	24489.0	193695.0	REPUBLICAN	0	3
