Year	Republican	Democrat	Libertarian	Other	Republican Electoral Votes	Democrat Electoral Votes	Winner
1976	38870893	40680446	95626	1954379	246	292	Democrat
1980	43642639	35480948	867401	6505863	457	81	Republican
1984	54166829	37449813	227204	811015	525	13	Republican
1988	48642640	41716679	409708	817798	437	101	Republican
1992	38798913	44856747	280848	20663272	181	357	Democrat
1996	39003697	47295351	465351	9625419	169	369	Democrat
2000	50311372	50830580	380405	4071625	285	253	Republican
2004	61872711	58894561	369308	1212870	292	246	Republican
2008	59613835	69338846	510456	1956116	180	358	Democrat
2012	60670117	65752017	1216400	1501463	206	332	Democrat
2016	62692670	65677288	4125170	4292059	305	233	Republican
2020	74216146	81268908	1797355	1246094	232	306	Democrat
